Date,IXIC,GSPC,GDAXI
2010-06-15,2305.879883,1115.22998,6047.830078
2010-06-16,2305.929932,1114.609985,6125
2010-06-17,2307.159912,1116.040039,6175.049805
2010-06-18,2309.800049,1117.51001,6190.910156
2010-06-21,2289.090088,1113.199951,6223.540039
2010-06-22,2261.800049,1095.310059,6216.97998
2010-06-23,2254.22998,1092.040039,6292.970215
2010-06-24,2217.419922,1073.689941,6269.040039
2010-06-25,2223.47998,1076.76001,6204.52002
2010-06-28,2220.649902,1074.569946,6115.47998
2010-06-29,2135.179932,1041.23999,6070.600098
2010-06-30,2109.23999,1030.709961,6157.220215
2010-07-01,2101.360107,1027.369995,5952.029785
2010-07-02,2091.790039,1022.580017,5965.52002
2010-07-06,2093.879883,1028.060059,5857.430176
2010-07-07,2159.469971,1060.27002,5834.149902
2010-07-08,2175.399902,1070.25,5816.200195
2010-07-09,2196.449951,1077.959961,5940.97998
2010-07-12,2198.360107,1078.75,5992.859863
2010-07-13,2242.030029,1095.339966,6035.660156
2010-07-14,2249.840088,1095.170044,6065.240234
2010-07-15,2249.080078,1096.47998,6077.189941
2010-07-16,2179.050049,1064.880005,6191.129883
2010-07-19,2198.22998,1071.25,6209.759766
2010-07-20,2222.48999,1083.47998,6149.359863
2010-07-21,2187.330078,1069.589966,6040.27002
2010-07-22,2245.889893,1093.670044,6009.109863
2010-07-23,2269.469971,1102.660034,5967.490234
2010-07-26,2296.429932,1115.01001,5990.379883
2010-07-27,2288.25,1113.839966,6142.149902
2010-07-28,2264.560059,1106.130005,6166.339844
2010-07-29,2251.689941,1101.530029,6194.209961
2010-07-30,2254.699951,1101.599976,6207.310059
2010-08-02,2295.360107,1125.859985,6178.939941
2010-08-03,2283.52002,1120.459961,6134.700195
2010-08-04,2303.570068,1127.23999,6147.970215
2010-08-05,2293.060059,1125.810059,6292.129883
2010-08-06,2288.469971,1121.640015,6307.910156
2010-08-09,2305.689941,1127.790039,6331.330078
2010-08-10,2277.169922,1121.060059,6333.580078
2010-08-11,2208.629883,1089.469971,6259.629883
2010-08-12,2190.27002,1083.609985,6351.600098
2010-08-13,2173.47998,1079.25,6286.25
2010-08-16,2181.870117,1079.380005,6154.069824
2010-08-17,2209.439941,1092.540039,6135.169922
2010-08-18,2215.699951,1094.160034,6110.410156
2010-08-19,2178.949951,1075.630005,6110.569824
2010-08-20,2179.76001,1071.689941,6206.399902
2010-08-23,2159.629883,1067.359985,6186.310059
2010-08-24,2123.76001,1051.869995,6075.129883
2010-08-25,2141.540039,1055.329956,6005.160156
2010-08-26,2118.689941,1047.219971,6010.910156
2010-08-27,2153.629883,1064.589966,5935.439941
2010-08-30,2119.969971,1048.920044,5899.5
2010-08-31,2114.030029,1049.329956,5912.580078
2010-09-01,2176.840088,1080.290039,5951.169922
2010-09-02,2200.01001,1090.099976,5912.410156
2010-09-03,2233.75,1104.51001,5925.220215
2010-09-07,2208.889893,1091.839966,6083.899902
2010-09-08,2228.870117,1098.869995,6083.850098
2010-09-09,2236.199951,1104.180054,6134.620117
2010-09-10,2242.47998,1109.550049,6155.040039
2010-09-13,2285.709961,1121.900024,6117.890137
2010-09-14,2289.77002,1121.099976,6164.439941
2010-09-15,2301.320068,1125.069946,6221.52002
2010-09-16,2303.25,1124.660034,6214.77002
2010-09-17,2315.610107,1125.589966,6261.680176
2010-09-20,2355.830078,1142.709961,6275.410156
2010-09-21,2349.350098,1139.780029,6261.870117
2010-09-22,2334.550049,1134.280029,6249.649902
2010-09-23,2327.080078,1124.829956,6209.759766
2010-09-24,2381.219971,1148.670044,6294.580078
2010-09-27,2369.77002,1142.160034,6275.97998
2010-09-28,2379.590088,1147.699951,6208.330078
2010-09-29,2376.560059,1144.72998,6184.709961
2010-09-30,2368.620117,1141.199951,6298.299805
2010-10-01,2370.75,1146.23999,6278.890137
2010-10-04,2344.52002,1137.030029,6276.089844
2010-10-05,2399.830078,1160.75,6246.919922
2010-10-06,2380.659912,1159.969971,6229.02002
2010-10-07,2383.669922,1158.060059,6211.339844
2010-10-08,2401.909912,1165.150024,6134.209961
2010-10-11,2402.330078,1165.319946,6215.830078
2010-10-12,2417.919922,1169.77002,6270.72998
2010-10-13,2441.22998,1178.099976,6276.25
2010-10-14,2435.379883,1173.810059,6291.669922
2010-10-15,2468.77002,1176.189941,6309.509766
2010-10-18,2480.659912,1184.709961,6304.569824
2010-10-19,2436.949951,1165.900024,6434.52002
2010-10-20,2457.389893,1178.170044,6455.27002
2010-10-21,2459.669922,1180.26001,6492.299805
2010-10-22,2479.389893,1183.079956,6516.629883
2010-10-25,2490.850098,1185.619995,6490.689941
2010-10-26,2497.290039,1185.640015,6524.549805
2010-10-27,2503.26001,1182.449951,6611.009766
2010-10-28,2507.370117,1183.780029,6605.839844
2010-10-29,2507.409912,1183.26001,6639.209961
2010-11-01,2504.840088,1184.380005,6613.799805
2010-11-02,2533.52002,1193.569946,6568
2010-11-03,2540.27002,1197.959961,6595.279785
2010-11-04,2577.340088,1221.060059,6601.370117
2010-11-05,2578.97998,1225.849976,6604.859863
2010-11-08,2580.050049,1223.25,6654.310059
2010-11-09,2562.97998,1213.400024,6617.799805
2010-11-10,2578.780029,1218.709961,6734.689941
2010-11-11,2555.52002,1213.540039,6754.200195
2010-11-12,2518.209961,1199.209961,6750.5
2010-11-15,2513.820068,1197.75,6787.810059
2010-11-16,2469.840088,1178.339966,6719.839844
2010-11-17,2476.01001,1178.589966,6723.410156
2010-11-18,2514.399902,1196.689941,6734.609863
2010-11-19,2518.120117,1199.72998,6790.169922
2010-11-22,2532.02002,1197.839966,6663.240234
2010-11-23,2494.949951,1180.72998,6700.069824
2010-11-24,2543.120117,1198.349976,6832.109863
2010-11-26,2534.560059,1189.400024,6843.549805
2010-11-29,2525.219971,1187.76001,6822.049805
2010-11-30,2498.22998,1180.550049,6705
2010-12-01,2549.429932,1206.069946,6823.799805
2010-12-02,2579.350098,1221.530029,6879.660156
2010-12-03,2591.459961,1224.709961,6848.97998
2010-12-06,2594.919922,1223.119995,6697.970215
2010-12-07,2598.48999,1223.75,6688.490234
2010-12-08,2609.159912,1228.280029,6866.629883
2010-12-09,2616.669922,1233,6957.609863
2010-12-10,2637.540039,1240.400024,6947.720215
2010-12-13,2624.909912,1240.459961,6954.379883
2010-12-14,2627.719971,1241.589966,7001.910156
2010-12-15,2617.219971,1235.22998,6975.870117
2010-12-16,2637.310059,1242.869995,6964.160156
2010-12-17,2642.969971,1243.910034,7006.169922
2010-12-20,2649.560059,1247.079956,7029.390137
2010-12-21,2667.610107,1254.599976,7027.399902
2010-12-22,2671.47998,1258.839966,7016.370117
2010-12-23,2665.600098,1256.77002,7024.399902
2010-12-27,2667.27002,1257.540039,6982.450195
2010-12-28,2662.879883,1258.51001,7018.600098
2010-12-29,2666.929932,1259.780029,7077.990234
2010-12-30,2662.97998,1257.880005,7067.919922
2010-12-31,2652.870117,1257.640015,7057.689941
2011-01-03,2691.52002,1271.869995,6970.72998
2011-01-04,2681.25,1270.199951,6972.100098
2011-01-05,2702.199951,1276.560059,6995.470215
2011-01-06,2709.889893,1273.849976,6914.189941
2011-01-07,2703.169922,1271.5,6989.740234
2011-01-10,2707.800049,1269.75,6975.350098
2011-01-11,2716.830078,1274.47998,6939.819824
2011-01-12,2737.330078,1285.959961,6981.390137
2011-01-13,2735.290039,1283.76001,6947.839844
2011-01-14,2755.300049,1293.23999,6857.060059
2011-01-18,2765.850098,1295.02002,6941.569824
2011-01-19,2725.360107,1281.920044,7068.779785
2011-01-20,2704.290039,1280.26001,7075.109863
2011-01-21,2689.540039,1283.349976,7075.700195
2011-01-24,2717.550049,1290.839966,7078.060059
2011-01-25,2719.25,1291.180054,7143.450195
2011-01-26,2739.5,1296.630005,7082.759766
2011-01-27,2755.280029,1299.540039,7024.27002
2011-01-28,2686.889893,1276.339966,7062.419922
2011-01-31,2700.080078,1286.119995,7067.77002
2011-02-01,2751.189941,1307.589966,7059.009766
2011-02-02,2749.560059,1304.030029,7127.350098
2011-02-03,2753.879883,1307.099976,7155.580078
2011-02-04,2769.300049,1310.869995,7102.799805
2011-02-07,2783.98999,1319.050049,7077.47998
2011-02-08,2797.050049,1324.569946,7184.27002
2011-02-09,2789.070068,1320.880005,7183.669922
2011-02-10,2790.449951,1321.869995,7193.680176
2011-02-11,2809.439941,1329.150024,7216.209961
2011-02-14,2817.179932,1332.319946,7283.620117
2011-02-15,2804.350098,1328.01001,7323.240234
2011-02-16,2825.560059,1336.319946,7320.899902
2011-02-17,2831.580078,1340.430054,7340.279785
2011-02-18,2833.949951,1343.01001,7371.200195
2011-02-22,2756.419922,1315.439941,7396.629883
2011-02-23,2722.98999,1307.400024,7400.040039
2011-02-24,2737.899902,1306.099976,7414.299805
2011-02-25,2781.050049,1319.880005,7405.509766
2011-02-28,2782.27002,1327.219971,7426.810059
2011-03-01,2737.409912,1306.329956,7321.810059
2011-03-02,2748.070068,1308.439941,7318.350098
2011-03-03,2798.73999,1330.969971,7194.600098
2011-03-04,2784.669922,1321.150024,7130.5
2011-03-07,2745.629883,1310.130005,7185.169922
2011-03-08,2765.77002,1321.819946,7272.319824
2011-03-09,2751.719971,1320.02002,7223.299805
2011-03-10,2701.02002,1295.109985,7181.120117
2011-03-11,2715.610107,1304.280029,7225.959961
2011-03-14,2700.969971,1296.390015,7178.899902
2011-03-15,2667.330078,1281.869995,7161.930176
2011-03-16,2616.820068,1256.880005,7164.75
2011-03-17,2636.050049,1273.719971,7131.799805
2011-03-18,2643.669922,1279.209961,7063.089844
2011-03-21,2692.090088,1298.380005,6981.490234
2011-03-22,2683.870117,1293.77002,6866.629883
2011-03-23,2698.300049,1297.540039,6647.660156
2011-03-24,2736.419922,1309.660034,6513.839844
2011-03-25,2743.060059,1313.800049,6656.879883
2011-03-28,2730.679932,1310.189941,6664.399902
2011-03-29,2756.889893,1319.439941,6816.120117
2011-03-30,2776.790039,1328.26001,6780.970215
2011-03-31,2781.070068,1325.829956,6804.450195
2011-04-01,2789.600098,1332.410034,6933.580078
2011-04-04,2789.189941,1332.869995,6946.359863
2011-04-05,2791.189941,1332.630005,6938.629883
2011-04-06,2799.820068,1335.540039,6934.439941
2011-04-07,2796.139893,1333.51001,7057.149902
2011-04-08,2780.419922,1328.170044,7041.310059
2011-04-11,2771.51001,1324.459961,7179.810059
2011-04-12,2744.790039,1314.160034,7175.330078
2011-04-13,2761.52002,1314.410034,7175.310059
2011-04-14,2760.219971,1314.52002,7215.109863
2011-04-15,2764.649902,1319.680054,7178.779785
2011-04-18,2735.379883,1305.140015,7217.02002
2011-04-19,2744.969971,1312.619995,7204.859863
2011-04-20,2802.51001,1330.359985,7102.910156
2011-04-21,2820.159912,1337.380005,7177.970215
2011-04-25,2825.879883,1335.25,7146.560059
2011-04-26,2847.540039,1347.23999,7178.290039
2011-04-27,2869.879883,1355.660034,7026.850098
2011-04-28,2872.530029,1360.47998,7039.310059
2011-04-29,2873.540039,1363.609985,7249.189941
2011-05-02,2864.080078,1361.219971,7295.490234
2011-05-03,2841.620117,1356.619995,7356.509766
2011-05-04,2828.22998,1347.319946,7404.950195
2011-05-05,2814.719971,1335.099976,7475.220215
2011-05-06,2827.560059,1340.199951,7514.459961
2011-05-09,2843.25,1346.290039,7527.640137
2011-05-10,2871.889893,1357.160034,7500.700195
2011-05-11,2845.060059,1342.079956,7373.930176
2011-05-12,2863.040039,1348.650024,7376.959961
2011-05-13,2828.469971,1337.77002,7492.25
2011-05-16,2782.310059,1329.469971,7410.52002
2011-05-17,2783.209961,1328.97998,7501.52002
2011-05-18,2815,1340.680054,7495.049805
